person_id,first_name,surname,normalized_name
1,,Ablancza,
2,,Ade,
3,,Agwsthyza,
4,,Akacius,
5,,Alapi,
6,,Alapii,
7,,Alappy,
8,,Alapy,
9,,Alexandrycza,
10,,Alexandrycze,
11,,Allappy,
12,,Antholkowych,
13,,Apalenych,
14,,Appalenych,
15,,Aranyassy,
16,,Arki,
17,,Arky,
18,,Augustinecz,
19,,Augustyanecz,
20,,Augustynycza,
21,,Aurifaber,
22,,Awgwsthynecz,
23,,Awgwstynecz,
24,,Aythych,
25,,Aythychi,
26,,Aytych,
27,,Babonosich,
28,,Babonosichkae,
29,,Babonosych,
30,,Babonosychka,
31,,Babonosychke,
32,,Baboyelych,
33,,Bacchiani,
34,,Bacchyany,
35,,Bachani,
36,,Bachiani,
37,,Bachyany,
38,,Bakonosychka,
39,,Balaste alias Magas,
40,,Balchych,
41,,Balogh,
42,,Balssa,
43,,Banffy,
44,,Banych,
45,,Barachka,
46,,Barbyer,
47,,Bartakowych,
48,,Bartakoych,
49,,Barthakowych,
50,,Barthakowycz,
51,,Barthakoych,
52,,Barych,
53,,Bathanny,
54,,Bathori,
55,,Bathory,
56,,Bathory G.,
57,,Bathyani,
58,,Bathyany,
59,,Batthany,
60,,Batthyani,
61,,Batthyany,
62,,Battyany,
63,,Bedekowych,
64,,Bedekoych,
65,,Belovarczy,
66,,Belowarczi,
67,,Belowarczy,
68,,"Belowarczy, quondam",
69,,Belowarzy,
70,,Belywdowcz,
71,,Benkowych,
72,,Benkoycza,
73,,Berizlo,
74,,Berlek,
75,,Berowych,
76,,Beroyewych,
77,,Beryzlawych,
78,,Beryzlaych,
79,,Blagonya,
80,,Blasyewych,
81,,Bobynacz,
82,,Bochkay,
83,,Bogachoczy,
84,,Bogdani,
85,,Bolthys,
86,,Boltys,
87,,Borachka,
88,,Borachky,
89,,Boraczka,
90,,Borgyczewc,
91,,Boros,
92,,Borothwa,
93,,Borsonczy,
94,,Borychne,
95,,Bosak,
96,,Bosnyak,
97,,Boynik,
98,,Boynychych,
99,,Boynychycza,
100,,Boynycza,
101,,Bradach,
102,,Bradacz,
103,,Bradarych,
104,,Brelek de Gwilowcz,
105,,Brodarych,
106,,Brodarycz,
107,,Bruman,
108,,Brumani,
109,,Brychek,
110,,Brythvych,
111,,Bubanich,
112,,Bubanicz,
113,,Bubanych,
114,,Budachky,
115,,Budor,
116,,Budysych,
117,,Bukouachky,
118,,Bukouicz,
119,,Bwbanych,
120,,Bwdachki,
121,,Bwdachky,
122,,Bwdachych,
123,,Bwdor,
124,,Bwkowecz,
125,,Bwsanych,
126,,Bylethych,
127,,Bynyczycza,
128,,Byrach,
129,,Candalych,
130,,Capelle,
131,,Casnar,
132,,Castelanffy,
133,,Castellanffi,
134,,Castellanffy,
135,,Castellanfy,
136,,Castellanfyw,
137,,Chabris,
138,,Chastellanfy,
139,,Chawlowych,
140,,Chernarekay,
141,,Chewethlyna,
142,,Chwethkowych,
143,,Chwrko,
144,,Chybak,
145,,Chychinzky,
146,,Chychynay,
147,,Chychynzky,
148,,Coludrich,
149,,Coruin,
150,,Cworlyna,
151,,Czwethych,
152,,Czwetych,
153,,Czwnoczy,
154,,Czybak,
155,,Czyganicz,
156,,Czyghan,
157,,Derffy,
158,,Dersfy,
159,,Deshazy,
160,,Dethychkowycza,
161,,Dethychkoycza,
162,,Detychkoych,
163,,Ditychkowych,
164,,Dobrossewych,
165,,Dobroualich,
166,,Dobrowolych,
167,,Dobychyak,
168,,Dollyansky,
169,,Dolnowalych,
170,,Dolyanzky,
171,,Dorothych,
172,,Dorotyych,
173,,Dragach,
174,,Dragosich,
175,,Dragunich,
176,,Dragwnych,
177,,Draskouych,
178,,Drasymerych,
179,,Drazymerych,
180,,Drobitel,
181,,Drobithel,
182,,Drobytel,
183,,Drobythel,
184,,Drogh,
185,,Drwgh,
186,,Erdedi,
187,,Erdedy,
188,,Erdeody,
189,,Erdeudy,
190,,Erdewdi,
191,,Erdewdy,
192,,Erwenczey,
193,,Ethwes,
194,,Fachar,
195,,Falina,
196,,Farkasii,
197,,Farkassych,
198,,Farkasy,
199,,Farkasyna,
200,,Fatunar,
201,,Feghweres,
202,,Fegweres,
203,,Fensiner,
204,,Ferraris,
205,,Fodroczy,
206,,Forchych,
207,,Forgach,
208,,Forro,
209,,Fychor,
210,,Fychwr,
211,,Fynthych,
212,,Garazda,
213,,Garguchych,
214,,Garygh,
215,,Gerbavecz,
216,,Gerdak,
217,,Gerebeni,
218,,Gereczy,
219,,Gezoynoych,
220,,Gezthy,
221,,Gezty,
222,,Golecz,
223,,Gotal,
224,,Gothal,
225,,Goworkowych,
226,,Gozache,
227,,Grayszbayn,
228,,Gregorianczy,
229,,"Gregoryancz, de",
230,,Gregoryanczy,
231,,"Gregoryanczy, de",
232,,Gregwrycze,
233,,Grexine,
234,,Grexych,
235,,Groff,
236,,Grwbar,
237,,Gulay,
238,,Gwozdanowych,
239,,Gwrek,
240,,Gwrychkonis,
241,,Gyczy,
242,,Gyegacz,
243,,Gyolchych,
244,,Gywlay,
245,,Hadar,
246,,Hahmath,
247,,Hamponis,
248,,Harmychar,
249,,Harmyczar,
250,,Harniczar,
251,,"Hasad, de",
252,,Hasady,
253,,Hassadi,
254,,Hassady,
255,,Hassaghy,
256,,Hassagy,
257,,Hegen,
258,,Hennygh,
259,,Hennyngh,
260,,Henyngh,
261,,Herkffy,
262,,Hodkowych,
263,,Homzky,
264,,Hoydwayzky,
265,,Hozan,
266,,Hozywheghy,
267,,Hozzwhegy,
268,,Hrwssoczy,
269,,Hrwssoczy senior,
270,,Hungari,
271,,Hwbethych,
272,,Hwmzky,
273,,Hysachych,
274,,Isthwanfy,
275,,Isthwanych,
276,,Iwanchych,
277,,Iwanecz,
278,,Iwanosthych,
279,,Iwanusthich,
280,,Jablancha,
281,,Jambrek,
282,,Jarbolthych,
283,,Jembrek,
284,,Jo,
285,,Juryewychka,
286,,Juryewychkae,
287,,Juryewychke,
288,,Jwchethych,
289,,Jwryewychka,
290,,Jwryewychke,
291,,Kamarcha,
292,,Kamarcza,
293,,Kandalych,
294,,Kandalyna,
295,,Kanisay,
296,,Kanysay,
297,,Kanyssay,
298,,Kasnar,
299,,Kassynar,
300,,Kastellanffy,
301,,Katherina,
302,,Kathycze,
303,,Kazmer,
304,,Kaznar,
305,,Keglewich,
306,,Keglewych,
307,,Kelchewych,
308,,Kelemyncza,
309,,Kerchelych,
310,,Kerechen,
311,,Kerecheni,
312,,Kerecheny,
313,,Kerechini,
314,,Kerechiny,
315,,Kerechyn,
316,,Kerechyni,
317,,Kerechyny,
318,,Kerenchychy,
319,,Kesser,
320,,Kissowych,
321,,Klobwk,
322,,Kolarych,
323,,Komornyk,
324,,Konssky,
325,,Konzky,
326,,Kopych,
327,,Koren,
328,,Korenzka,
329,,Korenzky,
330,,Kornyak,
331,,Korotka (?),
332,,Kosowczy,
333,,Kozlych,
334,,Krawaycza,
335,,Krazynay,
336,,Krysanicza,
337,,Krysanycza,
338,,Kwkawycza,
339,,Kwskoczy,
340,,Kyshorwath,
341,,Kyssewych,
342,,Kysseych,
343,,Laczkonis,
344,,Lahoych,
345,,Laknych,
346,,Laurentius,
347,,Lausingher,
348,,Lawsynger,
349,,Lawthws,
350,,Lenardych,
351,,Lenardycz,
352,,Levak,
353,,Lewak,
354,,Liczkoych,
355,,Lonarthfyw,
356,,Lonyay,
357,,Lowrekoycza,
358,,Luce,
359,,Lwdwayewych,
360,,Lwdwaysky,
361,,Lychkoych,
362,,Lychoych,
363,,Madaracz,
364,,Madaras,
365,,Madarasz,
366,,Madaraz,
367,,Magdalenych,
368,,Makochep,
369,,Makotep,
370,,Malykoczy,
371,,Marthynkoych,
372,,Martinkhonis,
373,,Martinkowych,
374,,Martinkoych,
375,,Martynkowych,
376,,Mathysych,
377,,Mayczen,
378,,Mayhoposicz,
379,,Medossewacz,
380,,Medwarych,
381,,Megyerechey,
382,,Megyerechy,
383,,Mernyawchych,
384,,Metheych,
385,,Miklasych,
386,,Mikulasych,
387,,Mixinycza,
388,,Mlynchych,
389,,Mochylag,
390,,More,
391,,Morus,
392,,Morws (More),
393,,Myhanouych,
394,,Myhanowych,
395,,Myhanoych,
396,,Myklyasych,
397,,Mykulich,
398,,Mykwlassych,
399,,Mykwlasych,
400,,Mykwlazych,
401,,Mykwlych,
402,,Mykych,
403,,Myndzenti,
404,,Myndzenty,
405,,Myserych,
406,,Mysllyenowych,
407,,Myslyenowich,
408,,Myxina,
409,,Myxych,
410,,Myxyna,
411,,Myxyne,
412,,Nadasdi,
413,,Nadasdy,
414,,Nasmanych,
415,,Nelepechy,
416,,Nelepeczy,
417,,Nemchych,
418,,Nemchychka,
419,,Nemchychke,
420,,Nenadich,
421,,Nenadych,
422,,Nouak,
423,,Nowakowych,
424,,Nowakowycha,
425,,Nowakoycza,
426,,Nowakycza,
427,,Nowozel,
428,,Orehoczy,
429,,Orgowan,
430,,Orssych,
431,,Orssychy,
432,,Orsych,
433,,Orzagh,
434,,Ostffy,
435,,Oswaldych,
436,,Ozel,
437,,Palffy,
438,,Paprathowych,
439,,Papratowych,
440,,Papratoych,
441,,Pariis,
442,,Paris,
443,,Parys,
444,,Pathykas,
445,,Pathykos,
446,,Pauloych,
447,,Paulycz,
448,,Pawkonys,
449,,Paxy,
450,,Perees,
451,,Perhath,
452,,Perwonozycze,
453,,Pethethych,
454,,Pethew,
455,,Pethranychi,
456,,Pethrawych,
457,,Pethrawychy,
458,,Pethrethych,
459,,Pethrussewych,
460,,Pethrychych,
461,,Pethywffy,
462,,Petrachych,
463,,Petrawichy,
464,,Petrychewych,
465,,Petrycheych,
466,,Petrycz,
467,,Philipanycza,
468,,Philipecz,
469,,Phylipanicha,
470,,Plantak,
471,,Planthak,
472,,Pogan,
473,,Pogani,
474,,Poganiz,
475,,Pogledych,
476,,Polak,
477,,Polunke,
478,,Polwnke,
479,,Polyak,
480,,Polyaknee,
481,,Polychanyn,
482,,Popowych,
483,,Posgay,
484,,Pothosa,
485,,Poyathych,
486,,Poyatych,
487,,Praschoczy,
488,,Premzych,
489,,Prenezyna,
490,,Primar,
491,,Prodarych,
492,,Progochi,
493,,Progowecz,
494,,Pugnak,
495,,Pwchych,
496,,Pwchycz,
497,,Pwczych,
498,,Radathowych,
499,,Radatowych,
500,,"Radenchych, Chasmensis, Istwanych",
501,,Radynowych,
502,,Raskay,
503,,Rasuar,
504,,Rathkay,
505,,Rawony,
506,,Repych,
507,,Repycz,
508,,Reuay,
509,,Reway,
510,,Rogar,
511,,Rokonczy,
512,,Rosdi,
513,,Rosdy,
514,,Rosecz,
515,,Rybych,
516,,Safar,
517,,Safarich,
518,,Saffar,
519,,Saffarych,
520,,Samanouczy,
521,,Sampwh,
522,,Sandorffy,
523,,Santhych,
524,,Sapharich,
525,,Sapharych,
526,,Saronoych,
527,,Saronych,
528,,Sartor,
529,,Sathrych,
530,,Satthrych,
531,,Satthryt,
532,,Schomberg,
533,,Schytaroczy,
534,,Schytharoczy,
535,,Segricza,
536,,Serafyny,
537,,Simon,
538,,Siprak,
539,,Spanych,
540,,Spanycha,
541,,Speranchych,
542,,Spiranchych,
543,,Spissich,
544,,Spychko,
545,,Spychkonis,
546,,Spyranchich,
547,,Spyranchych,
548,,Spyryanchych,
549,,Spyryanecz,
550,,Spyssych,
551,,Stepchych,
552,,Stephanych,
553,,Sthobyczay,
554,,Sthwbyczey,
555,,Sthwmbergher,
556,,Strassemley,
557,,Supanych,
558,,Swazkoych,
559,,Swaztowych,
560,,Swpanych,
561,,Swppanych,
562,,Swsychkae,
563,,Swsychke,
564,,Sydynay,
565,,Sypak,
566,,Syssynachky,
567,,Tablar,
568,,Tahy,
569,,Taroczy,
570,,Tersek,
571,,Thahy,
572,,Tharnoczy,
573,,Tharnok,
574,,Tharnyk,
575,,Thekowcz,
576,,Therek,
577,,Thersachky,
578,,Thersek,
579,,Thoblor,
580,,Thompa,
581,,Thorstek,
582,,Thurbelthy,
583,,Thuroczy,
584,,Thwrbelthi,
585,,Thwrchych,
586,,Thwrchynycza,
587,,Thwrkoych,
588,,Thwroczy,
589,,Tomadawczy,
590,,Tompe,
591,,Trumbytas,
592,,Ungnod,
593,,Vlyako,
594,,Vngnad,
595,,Vngnod,
596,,Vogrynowych,
597,,Vokoslaych,
598,,Vrbani,
599,,Vutorin,
600,,Wehthochy,
601,,Werusowych,
602,,Werych,
603,,Weryssewych,
604,,Wethoczy,
605,,Wgnad,
606,,Wgronffy,
607,,Wgryna,
608,,Wgrynowycz,
609,,Wkozlawich,
610,,Wkozlawych,
611,,Wngnad,
612,,Wngnod,
613,,Wochycz,
614,,Wodopia de Remethincz,
615,,Wogrynya,
616,,Wokman,
617,,Wokoszlawych,
618,,Wokozlauych,
619,,Wokozlawych,
620,,Wokozlaych,
621,,Wokozlaycz,
622,,Wokychewych,
623,,Wokzan,
624,,Woykffy,
625,,Wragowczi,
626,,Wragoych,
627,,Wranczky,
628,,Wrnoczy,
629,,Wugnod,
630,,Wydossych,
631,,Wynczek,
632,,Wynczethych,
633,,Wynnychky,
634,,Ywryewychke,
635,,Zabo,
636,,Zaboky,
637,,Zaboo,
638,,Zagorecz,
639,,Zaklycha,
640,,Zalathnoky,
641,,Zalay,
642,,Zayecz,
643,,Zaynowych,
644,,Zebenya,
645,,Zekel,
646,,Zekirina,
647,,Zekyra,
648,,Zenth Iwany,
649,,Zermegh,
650,,Zernzky,
651,,Zewles,
652,,Zkopchych,
653,,Zlathenycza,
654,,Zluny,
655,,Zlwni,
656,,Zlwny,
657,,Zlywarina,
658,,Zlywarinae,
659,,Zlywaryna,
660,,Zlywaryne,
661,,Zoltay,
662,,Zolthay,
663,,Zopchych,
664,,Zorych,
665,,Zprechky,
666,,Zrini,
667,,Zrinski,
668,,Zriny,
669,,Zryny,
670,,Zrynyo,
671,,Ztansych,
672,,Ztanych,
673,,Ztanycza,
674,,Ztepchych,
675,,Zthanwssych,
676,,Zthanych,
677,,Zthwbyczay,
678,,Ztoych,
679,,Ztresemley,
680,,Ztrozec,
681,,Ztrychkoych,
682,,Ztryskoych,
683,,Zulycza,
684,,Zwethkoicz,
685,,Zwlycza,
686,,Zyngar,
687,Achacius,Erwenchey,
688,Actacius,Vitalis,
689,Ada (Ade),,
690,Adam,Gothal,
691,Adam,Loranth,
692,Adam,Spychko,
693,"Adam, Georgius",Herkffy,
694,Adamus,,
695,Adamus,Gotal,
696,Adamus,Gothal,
697,Adamus,Gottal,
698,Adamus,Herkffy,
699,Adamus,Keglewych,
700,Adamus,Marygolth,
701,Adamus,Spychko,
702,"Adamus, Georgius",Herkffy,
703,Ade,,
704,Akachyus,Garazda,
705,Akacius,,
706,Akacius,Chany,
707,Akacius,Erwenczey,
708,Akacius,Garazda,
709,Akacius,Korontal,
710,Akacius,Korontall,
711,Akacius,Koronthali,
712,Akaczius,,
713,Albert,,
714,Albertus,Lonyay,
715,Alexandrus,,
716,Alexandrycze,,
717,Alexius,Mori,
718,Alia,,
719,Alie,,
720,Alius (Alie),,
721,Alye,,
722,Ambrosius,,
723,Ambrosius,Broz,
724,Ambrosius,Chakan,
725,Ambrosius,Erdegh,
726,Ambrosius,Gregoriancz,
727,Ambrosius,Gregorianczy,
728,Ambrosius,Gregoryancz,
729,Ambrosius,Gregoryanczy,
730,Ambrosius,Harmyczar,
731,Ambrosius,Kecczer,
732,Ambrosius,Terek,
733,Ambrosius,Therek,
734,Ambrosius,Thewk,
735,Ana,Pariis,
736,Ana,Zluny,
737,Andre,Chonka,
738,Andre,Duganicz,
739,Andrea,Augustincz,
740,Andreae,Chonka,
741,Andreae,Czwzych,
742,Andreae,Folnogyewych,
743,Andreae,Saffranych,
744,Andreas,,
745,Andreas,Augustinecz,
746,Andreas,Augustynecz,
747,Andreas,Bath,
748,Andreas,Bathory,
749,Andreas,Bayakowych,
750,Andreas,Baykowych,
751,Andreas,Borothwa,
752,Andreas,Both,
753,Andreas,Both (de Kemlek),
754,Andreas,Bothws,
755,Andreas,"Brezthowcz, de",
756,Andreas,Brythwych,
757,Andreas,Budor,
758,Andreas,Bwdor,
759,Andreas,Chanka,
760,Andreas,Chawka,
761,Andreas,Chonka,
762,Andreas,Chowka,
763,Andreas,Druskoczy,
764,Andreas,Dwdych,
765,Andreas,Dyanikowych,
766,Andreas,Dyankowych,
767,Andreas,Dyankoych,
768,Andreas,Fabych,
769,Andreas,Folnegyewych,
770,Andreas,Folnogewych,
771,Andreas,Folnogeych,
772,Andreas,Folnogyewych,
773,Andreas,Folnogyeych,
774,Andreas,Folnogywycz,
775,Andreas,Galynych,
776,Andreas,Gegach,
777,Andreas,Gerdanych,
778,Andreas,Gerdawych,
779,Andreas,Gerdowych,
780,Andreas,Golynith,
781,Andreas,Golynych,
782,Andreas,Goychich,
783,Andreas,Goychych,
784,Andreas,Gredawych de Rakaria,
785,Andreas,Gwbasoczy,
786,Andreas,Gwzych,
787,Andreas,Hennyngh,
788,Andreas,Henyg,
789,Andreas,"Heryhowcz, de",
790,Andreas,Horwath,
791,Andreas,Isthwanych,
792,Andreas,Istwanych,
793,Andreas,Kassnar,
794,Andreas,Kerecheny,
795,Andreas,Kerechyny,
796,Andreas,Kranycz,
797,Andreas,Kwnyak,
798,Andreas,Lepoych,
799,Andreas,"Mendzenth, de",
800,Andreas,Myrkoczy,
801,Andreas,Myxych,
802,Andreas,Nagoychych,
803,Andreas,Osogh,
804,Andreas,Phylypchych,
805,Andreas,Podlaschych,
806,Andreas,Podloschych,
807,Andreas,Polak,
808,Andreas,Pwnychych,
809,Andreas,Radizlaw,
810,Andreas,Saffranych,
811,Andreas,Simonfyw,
812,Andreas,Spanych,
813,Andreas,Sthwlchych,
814,Andreas,Thermynych,
815,Andreas,Thernynych,
816,Andreas,Thoca,
817,Andreas,Thoka,
818,Andreas,Thowcza,
819,Andreas,Vytez,
820,Andreas,Zlathenycza,
821,Andreas,Zlathynnycza,
822,Andreas,Zowynchych,
823,"Andreas, Johannes",Kassnar,
824,"Andreas, Mathias",,
825,"Andreas, Mathias",Kos,
826,Andreass,Saffranych,
827,Andreus,Deak,
828,Andriae,Folnogyewych,
829,Anna,,
830,Anna,Bradach,
831,Anna,"Farkadyn, de",
832,Anna,"Hozywfalw, de",
833,Anna,Keczer,
834,Anna,"Mikethincz, de",
835,Anna,Zwhodoly,
836,Anthonii,Gereczy,
837,Anthonis,Kys,
838,Anthonius,,
839,Anthonius,Borothwa,
840,Anthonius,Boruthwa,
841,Anthonius,Chankae,
842,Anthonius,Ferkolewechky,
843,Anthonius,Folnegyewych,
844,Anthonius,"Gerecz, de",
845,Anthonius,Gereczy,
846,Anthonius,Gerreczy,
847,Anthonius,Ghereczy,
848,Anthonius,Hrezthynowych,
849,Anthonius,Jambrechich,
850,Anthonius,Kerecheny,
851,Anthonius,Kiis,
852,Anthonius,Lwdykowych,
853,Anthonius,Myndthenthy,
854,Anthonius,Myndzenthi,
855,Anthonius,Myndzenthy,
856,Anthonius,Pwksarych,
857,Anthonius,Skopyloych,
858,Anthonius,"Sysynczy, de",
859,Anthonius,Therko,
860,Antonius,,
861,Antonius,Boruthwa,
862,Antonius,Gereczy,
863,Antonius,"Sesincz, de",
864,Augustin,,
865,Augustinus,,
866,Augustinus,Poyatych,
867,Aurifaber,,
868,Azeg,,
869,Balsa,,
870,Baltasar,Orechoczy,
871,Baltasar,Woykffy,
872,Baltasaris,Laky,
873,Balthasar,,
874,Balthasar,"Alap, de",
875,Balthasar,Alapi,
876,Balthasar,Alapy,
877,Balthasar,"Alapy, de",
878,Balthasar,"Bachan, de",
879,Balthasar,Bachany,
880,Balthasar,Bachyan,
881,Balthasar,"Bachyan, de",
882,Balthasar,Bathyan,
883,Balthasar,"Bathyan, de",
884,Balthasar,Bathyany,
885,Balthasar,Batthiany,
886,Balthasar,Batthyany,
887,Balthasar,Boynychych,
888,Balthasar,Drenoczy,
889,Balthasar,Gregoryanczy,
890,Balthasar,Herkffy,
891,Balthasar,Hobethych,
892,Balthasar,Hwbethycz,
893,Balthasar,Jwrsincz,
894,Balthasar,Orehoczy,
895,Balthasar,Patachych,
896,Balthasar,Perhath,
897,Balthasar,Prelochky,
898,Balthasar,Schytaroczy,
899,Balthasar,Schytharoczi,
900,Balthasar,Spychko,
901,Balthasar,Sysynachky,
902,Balthasar,Woyffy,
903,Balthasar,Woykffy,
904,Balthasar,Wragowych,
905,Balthasar,Zele,
906,"Balthasar, Dorothea",Orehoczy,
907,Balthasari,,
908,Balthasaris,Bathiani,
909,Balthasarus,,
910,Balthasarus,Alap,
911,Balthasarus,"Alap, de",
912,Balthasarus,Alapi,
913,Balthasarus,Alapy,
914,Balthasarus,Bwdynzky,
915,"Balthasarus, Franciscus","Bathyan, de",
916,Baratus,,
917,Barbara,Allappy,
918,Barbara,Allapy,
919,Barbara,"Mendzenth, de",
920,Barbare,Aytych,
921,Barecko,Drewodelych,
922,Barek,Drewdelich,
923,Bareko,,
924,Bareko,Drewodelych,
925,Barissa,Barthakowycz,
926,Barthal,,
927,Barthol,Wagych,
928,Bartholomeus,,
929,Bartholomeus,"Bucha, de",
930,Bartholomeus,Budachky,
931,Bartholomeus,Bwcha,
932,Bartholomeus,"Bwcha, de",
933,Bartholomeus,Bwdachky,
934,Bartholomeus,Fanchy,
935,Bartholomeus,Gerdossych,
936,Bartholomeus,Gordosych,
937,Bartholomeus,Gredosich,
938,Bartholomeus,"Polyana, de",
939,Bartholomeus,Wagych,
940,Bartholomeus,Wochych,
941,Bartolomeus,Gereczy,
942,Baryssa,Barthakowych,
943,Bathasar,Zele,
944,Bela,,
945,Belkonis,,
946,Benedictus,,
947,Benedictus,Arbanasz,
948,Benedictus,Arbanaz,
949,Benedictus,Bachyan,
950,Benedictus,Bary,
951,Benedictus,Bathyan,
952,Benedictus,"Bathyan, de",
953,Benedictus,Batthyan,
954,Benedictus,Bekoych,
955,Benedictus,Brada,
956,Benedictus,Castellani,
957,Benedictus,Drogh,
958,Benedictus,Dwgh,
959,Benedictus,Fodor,
960,Benedictus,"Fodorowcz, de",
961,Benedictus,Gary,
962,Benedictus,Izdenczy,
963,Benedictus,Kinchtartho,
964,Benedictus,Klobwk,
965,Benedictus,Markowych,
966,Benedictus,Paan,
967,Benedictus,Pethew,
968,Benedictus,Pethew de Gyersse,
969,Benedictus,Pettö,
970,Benedictus,Posych,
971,Benedictus,Powsych,
972,Benedictus,Radkay,
973,Benedictus,Rathkay,
974,Benedictus,Sapharych,
975,Benedictus,Sartoris,
976,Benedictus,Syffar,
977,Benedictus,Thersek,
978,Benedictus,Thoka,
979,Benedictus,Thonsek,
980,Benedictus,Thorsek,
981,Benedictus,Thorstek de Bwkowyna,
982,Benedictus,Thowka,
983,Benedictus,"Thurocz, de",
984,Benedictus,Thwroczy,
985,Benedictus,Tkoka,
986,Benedictus,Twroczy,
987,Benko,Bolthysarych,
988,Benko,Krayach,
989,Berek,Pogledych,
990,Berlek,Pogledych,
991,Bernardin,,
992,Bernardin,Frankopan,
993,Bernardus,,
994,Bernardus,Drwskoczi,
995,Bernardus,Groff,
996,Bernardus,"Megwrechye, de",
997,Bernardus,Pwnek,
998,Bernardus,Roh,
999,Bernardus,Safarych,
1000,Bernardus,"Thurocz, de",
1001,Bernardus,Thuroczy,
1002,Bernardus,"Thwrocz, de",
1003,Bernardus,Thwroczi,
1004,Bernardus,Thwroczy,
1005,Bernardus,Wyrych,
1006,Bernardus* (Benhardi),,
1007,"Bernardus, Gabriel",Thwroczy,
1008,"Bernardus, Stephanus",Drwskoczy,
1009,Blas,Ffyan,
1010,Blasii,Aranyassy,
1011,Blasius,,
1012,Blasius,Aranyassy,
1013,Blasius,Aranyasy,
1014,Blasius,Arky,
1015,Blasius,Banych,
1016,Blasius,Bwdor,
1017,Blasius,Czwerlych,
1018,Blasius,Dyachych,
1019,Blasius,"Ebres, de",
1020,Blasius,"Hrwsowcz, de",
1021,Blasius,Hrwssoczy,
1022,Blasius,Io,
1023,Blasius,Kerpych,
1024,Blasius,Kos,
1025,Blasius,Koskowych,
1026,Blasius,Koskoych,
1027,Blasius,Lahoych,
1028,Blasius,Magnus,
1029,Blasius,Nagh,
1030,Blasius,"Pathak, de",
1031,Blasius,Pogledych,
1032,Blasius,Progh,
1033,Blasius,Progowczy,
1034,Blasius,Rasecz,
1035,Blasius,Rosecz,
1036,Blasius,Rowenschyak,
1037,Blasius,Wogrin,
1038,Blasius,Wogrincz,
1039,Blasius,Zagorcz,
1040,"Blasius, Mathias",Pogledich,
1041,Blasko,,
1042,Blasko,Archy,
1043,Blaskon,,
1044,Blassius,Jo,
1045,Blasy,Koskowych,
1046,Bogdan,Borachky,
1047,Bogdan,Borasti,
1048,Bogdanus,,
1049,Bolt,,
1050,Bolth,,
1051,Bolth,"Schythario, de*",
1052,Bolth (Bolthis),,
1053,Bolti,,
1054,Bosydar,,
1055,Brictius,,
1056,Brictius,(Egerwary*),
1057,Brictus,,
1058,Broz,Zwchych,
1059,Brycus,,
1060,Caspar,,
1061,Caspar,Alappy,
1062,Caspar,Bellyewych,
1063,Caspar,Boynychych,
1064,Caspar,Czyrka,
1065,Caspar,Drwsckowczy,
1066,Caspar,Drwskoczy,
1067,Caspar,Drwskowczy,
1068,Caspar,Dydkowych,
1069,Caspar,Farkassych,
1070,Caspar,Fodroczy,
1071,Caspar,Gotal,
1072,Caspar,Gottal,
1073,Caspar,Grwya,
1074,Caspar,Gwzych,
1075,Caspar,Kwrtych,
1076,Caspar,Lowynchych,
1077,Caspar,Mernyawchych,
1078,Caspar,Modych,
1079,Caspar,Olah,
1080,Caspar,Pethrychewych,
1081,Caspar,Petrychewych*,
1082,Caspar,Prenar,
1083,Caspar,Saffarych,
1084,Caspar,Sysynachky,
1085,Caspar,Wragoych,
1086,Caspar,Zlathynay,
1087,"Caspar, Nicolaus",Zlatinay,
1088,Caspari,Pernyey,
1089,Casparis,Kermchych,
1090,Casparus,Alapy,
1091,Casparus,Belyewych,
1092,Casparus,Borachky,
1093,Casparus,Borochkay,
1094,Casparus,Boynychych,
1095,Casparus,Chasmensis,
1096,Casparus,Czyrka,
1097,Casparus,Dedkowych,
1098,Casparus,Dedkowyth,
1099,Casparus,Druskoczy,
1100,Casparus,Gwszych,
1101,Casparus,Lowynchych,
1102,Casparus,Mernyawchych,
1103,Casparus,Meryawchyk,
1104,Casparus,Modych,
1105,Casparus,Mykulich,
1106,Casparus,Mykwlych,
1107,Casparus,Myrkoczy,
1108,Casparus,Olah,
1109,Casparus,Orehoczy,
1110,Casparus,Pernycy,
1111,Casparus,Saffarycz,
1112,Casparus,Vragoich,
1113,Casparus,Vragoych,
1114,Casparus,Zlathynay,
1115,"Casparus, Ladislaus",Boynychych,
1116,Catharina,,
1117,Catharina,Aythych,
1118,Catharina,Kyssewych,
1119,Catharina,Saffarych,
1120,Catherina,Aythych,
1121,Catherina,Kyssewych,
1122,Catherina,Paxay,
1123,Catherina,Saffarych,
1124,Catherinae,More,
1125,Catherine,More,
1126,Caythan,,
1127,Christoferi,Bedekowych,
1128,Christoferi,Ewrdegh,
1129,Christoferi,Grwbar,
1130,Christoferi,Palffy,
1131,Christoferi,Thompa,
1132,Christoferi,Wragowych,
1133,Christoferi,Wragoych,
1134,Christofor,Nemchych,
1135,Christofor,Wrasych,
1136,Christofori,Kastelanffy,
1137,Christoforus,,
1138,Christoforus,Bedekowych,
1139,Christoforus,Kengyel,
1140,Christoforus,Madaraz,
1141,Christoforus,Praschoczy,
1142,Christoforus,Syssynachky,
1143,Christopheri,,
1144,Christopherus,,
1145,Christopherus,Bedekoich,
1146,Christopherus,Bedekowych,
1147,Christopherus,Borothwa,
1148,Christopherus,Brada,
1149,Christopherus,Ferkuloczy,
